nm,P09,P06,P19,P21,F07,T01-1,T01-2
1150,4.195402299,4.167280907,3.723844992,2.670910921,4.247587433,3.691465094,3.386824153
1149,4.195402299,4.168395686,3.727581344,2.674534099,4.251334361,3.69351495,3.388679379
1148,4.137931034,4.109618337,3.680193529,2.643120653,4.193096904,3.63889188,3.346899545
1147,4.137931034,4.111309766,3.681677927,2.64781688,4.199643832,3.63849338,3.350187586
1146,4.137931034,4.114293423,3.68133952,2.652249344,4.205559515,3.644089379,3.350929681
1145,4.137931034,4.121020579,3.684278507,2.651866801,4.208914775,3.644635828,3.34579841
1144,4.137931034,4.126584739,3.687911201,2.650413724,4.21056137,3.643948442,3.34260855
1143,4.137931034,4.132772132,3.692624357,2.647966905,4.214634146,3.652961777,3.336879396
1142,4.137931034,4.137897712,3.694765507,2.642541604,4.216494109,3.653374515,3.332789928
1141,4.137931034,4.14636231,3.693685697,2.641355659,4.216787713,3.652409536,3.335698836
1140,4.137931034,4.152779959,3.697709616,2.638522853,4.219506967,3.652605598,3.348073323
1139,4.137931034,4.157084644,3.702815622,2.638328792,4.222020972,3.648652418,3.352248045
1138,4.186046512,4.162191235,3.70724023,2.642108452,4.224240257,3.64301049,3.363057791
1137,4.186046512,4.160757112,3.709862571,2.645432498,4.225751073,3.643680708,3.36656861
1136,4.186046512,4.164289926,3.713921747,2.645313922,4.23312269,3.648034874,3.366341631
1135,4.137931034,4.165106336,3.717256727,2.645923528,4.235849732,3.653850477,3.364941454
1134,4.137931034,4.163782125,3.720546282,2.647647951,4.238224767,3.655415956,3.358047273
1133,4.137931034,4.16404593,3.717209302,2.647037412,4.244192432,3.65972503,3.35778922
1132,4.186046512,4.164672748,3.713875695,2.647155129,4.248602151,3.668385215,3.359386375
1131,4.186046512,4.171812121,3.713523347,2.643056398,4.251141662,3.670299899,3.364175043
1130,4.186046512,4.176210627,3.713852683,2.640800242,4.250083712,3.674960718,3.376221561
1129,4.137931034,4.180706393,3.719696817,2.641334007,4.253840632,3.681237258,3.381945486
1128,4.186046512,4.180931194,3.728103518,2.641407198,4.254349647,3.684726814,3.384815316
1127,4.186046512,4.182151227,3.72955924,2.646502224,4.253291836,3.687903571,3.389812202
1126,4.186046512,4.182143092,3.731418748,2.647305086,4.254819782,3.689276056,3.393686924
1125,4.186046512,4.182424966,3.735113809,2.646919575,4.255996166,3.693223633,3.382165004
1124,4.186046512,4.186145869,3.737326723,2.647455226,4.254819782,3.696426761,3.376650812
1123,4.127906977,4.130936486,3.687658196,2.613708616,4.196537263,3.641127816,3.326754364
1122,4.127906977,4.138126976,3.685501671,2.610114407,4.203779244,3.644479938,3.32961968
1121,4.127906977,4.144486607,3.686939354,2.60723904,4.205259998,3.649585465,3.339680933
1120,4.127906977,4.150343116,3.690216731,2.603716832,4.209998798,3.647056852,3.337180495
1119,4.127906977,4.156327398,3.69671799,2.607840357,4.215438259,3.646830864,3.338877716
1118,4.127906977,4.158458324,3.706882222,2.612304885,4.21626564,3.65271101,3.336580328
1117,4.127906977,4.164580426,3.71349158,2.614424833,4.219150217,3.654702449,3.341238176
1116,4.176470588,4.161605422,3.719287744,2.614234984,4.220512821,3.657006136,3.348851105
1115,4.127906977,4.163119618,3.722959805,2.613855055,4.222892582,3.655870916,3.353470058
1114,4.127906977,4.161778396,3.725842469,2.610251726,4.224786325,3.657580464,3.355331894
1113,4.127906977,4.163605721,3.725464326,2.611427991,4.225111406,3.657476922,3.359448644
1112,4.127906977,4.168296521,3.724330357,2.60919237,4.231754069,3.653279293,3.36554363
1111,4.127906977,4.174168737,3.72175677,2.607678264,4.234997588,3.651524259,3.366560899
1110,4.127906977,4.180527991,3.719870235,2.60419708,4.233811475,3.652407189,3.362604176
1109,4.127906977,4.186948834,3.723609984,2.607751623,4.235177818,3.649062871,3.356358811
1108,4.127906977,4.194746322,3.726905511,2.609986806,4.237566329,3.657110312,3.358901355
1107,4.127906977,4.200458509,3.731607795,2.613134389,4.238064205,3.66787671,3.367385803
1106,4.127906977,4.2031061,3.734565394,2.615637693,4.241302247,3.668539413,3.362458321
1105,4.176470588,4.204699717,3.738852792,2.617269036,4.245068891,3.667231463,3.362360821
1104,4.176470588,4.202237915,3.744698355,2.620495633,4.245582014,3.671017561,3.364504025
1103,4.176470588,4.200655066,3.747202194,2.622392607,4.24764322,3.673893955,3.366948025
1102,4.176470588,4.197534669,3.750467195,2.622658948,4.251075659,3.674574616,3.368942497
1101,4.176470588,4.19705933,3.749446307,2.619130346,4.252961799,3.668050534,3.370119157
1100,4.176470588,4.196373333,3.75263051,2.615447898,4.253649988,3.665190088,3.373279689
1099,4.176470588,4.194951216,3.751610281,2.614081073,4.256909684,3.667309747,3.378155136
1098,4.117647059,4.138201416,3.704543145,2.576176441,4.200846945,3.626723911,3.341725551
1097,4.176470588,4.205978064,3.762220415,2.614497763,4.26962945,3.683653587,3.398032526
